"videoid","commentid","comment","userid","sentiment_score"
"0573af87-d26d-4ccd-8f61-c8b851d2ba5f","5e3c2a6a-dc48-11f0-be0e-62bc60f3bc09","Thanks for sharing this. consistency is exactly what I needed.","2fd9689b-b183-4f30-a15a-4d29d959a1fe","0.851"
"7db373e0-2c73-443a-bfce-7cc350574a0c","5e3c2c22-dc48-11f0-be0e-62bc60f3bc09","Thanks for covering the architecture. Looking forward to more content!","aa53499f-5042-46f4-88ba-b11f714973f2","0.764"
"7670ea23-068e-4076-a8a9-773b1a807cf7","5e3c2cc2-dc48-11f0-be0e-62bc60f3bc09","Love the content! this topic makes so much more sense now.","f9d55d7d-c046-4495-8189-17209030d8af","0.677"
"7dff9592-0773-4908-8a30-15655c0a66f8","5e3c2d58-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. scaling is fascinating.","a544352b-44bf-4511-86de-7d11d67f7cfc","0.67"
"4773d082-8376-4d2a-a1f4-afe8ee03762c","5e3c2df8-dc48-11f0-be0e-62bc60f3bc09","Thanks for sharing this. data modeling is exactly what I needed.","e4dae5ea-e065-46f0-9fc9-ea18af15f881","0.663"
"490404d7-2cc6-4ec6-a4eb-3dffc3247ba0","5e3c2e84-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! vector search seems really powerful.","9383998c-ddc2-4e75-adb4-18160db85029","0.776"
"a73ef787-f26b-481b-b729-74f5281a91e5","5e3c2f06-dc48-11f0-be0e-62bc60f3bc09","Love the content! this topic makes so much more sense now.","a824b122-0048-471a-902c-2e060cb5a705","0.541"
"1889cc27-d235-4eb4-a72a-c4445517b527","5e3c2fa6-dc48-11f0-be0e-62bc60f3bc09","This video on vector search was super helpful. Keep up the great work!","86481ff5-b34e-4df0-af87-9525785561a1","0.694"
"130409a8-1ac3-4c77-a209-f7dd57d70268","5e3c3050-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. Astra is fascinating.","551d60f2-fd1a-4953-9134-8485da816bd6","0.771"
"cb4b81ea-0a9d-498c-bc50-1fecb51b7902","5e3c30dc-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. Astra is fascinating.","b833e3df-35d5-44e1-b91e-295411730ba9","0.566"
"f07a59ec-b7cc-4a8f-b766-1e1b91627358","5e3c3154-dc48-11f0-be0e-62bc60f3bc09","Excellent explanation of scaling. Very clear and concise.","1169594e-9b45-4d2d-b8a2-804f4d488969","0.75"
"72ab6fb1-c178-4b4f-bae3-def4b576bb7e","5e3c31d6-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. data modeling is fascinating.","81e21177-c908-4ebd-bf5b-80928c1ad9fd","0.674"
"99b13ccf-1e07-407f-bde7-eef51f4cf4bb","5e3c324e-dc48-11f0-be0e-62bc60f3bc09","Excellent explanation of the architecture. Very clear and concise.","1169594e-9b45-4d2d-b8a2-804f4d488969","1.0"
"09d305e9-8bed-48e1-a74d-4ba1220164e2","5e3c32d0-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. Astra is fascinating.","9d543427-2ca7-4d45-a9b1-6dc73270cec8","0.838"
"fcb54b86-e3eb-4655-a3d9-706aeae94229","5e3c3348-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand NoSQL.","42f7440c-f7b9-40d0-a504-c01668f6c54c","0.587"
"57eff349-6d7b-4230-b930-77cc4e33d54b","5e3c33d4-dc48-11f0-be0e-62bc60f3bc09","Excellent explanation of scaling. Very clear and concise.","88b3230f-0806-4d1e-8b69-18c608bf6277","0.618"
"492cfeb6-1f74-445c-a065-968691a398d8","5e3c344c-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! the architecture seems really powerful.","aa53499f-5042-46f4-88ba-b11f714973f2","0.529"
"82f000a2-2cca-4eee-a463-94ecde20816e","5e3c34ce-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand performance optimization.","d0806544-ab76-443b-8365-6e0bca5c6675","0.888"
"af25db2b-bc4c-4341-b633-39ac75793e13","5e3c3546-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand CQL.","7db085d9-c5e2-456e-83db-7a8108fcceb8","0.663"
"e57af78c-53a7-4059-8fa6-eb260f5f69a1","5e3c35d2-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand CQL.","229a1e67-bc6e-461f-856c-6558ab0b71b6","0.952"
"a999170d-f22a-422b-acdb-ea35b9f9fd4f","5e3c3668-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. data modeling is fascinating.","1b81adc7-83bf-40e9-b3bd-607763b4b9c3","0.833"
"bfa3601c-41d1-4d67-8ca6-b1f6829d39b2","5e3c36fe-dc48-11f0-be0e-62bc60f3bc09","This video on vector search was super helpful. Keep up the great work!","a824b122-0048-471a-902c-2e060cb5a705","0.865"
"a8eee33d-cf31-4e8b-9978-a0bd20676db2","5e3c3794-dc48-11f0-be0e-62bc60f3bc09","Excellent explanation of Astra. Very clear and concise.","ae2e35b7-ed71-4afb-a537-e98b8f47b5f3","0.65"
"3819cdfb-3fd1-4e77-9a3b-b7b7d2d8c176","5e3c382a-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand CQL.","ff5672ca-10c7-4d10-b920-e53e4a34ca4f","0.823"
"42bf0fc8-c29a-469c-8e80-88f7898d2282","5e3c38b6-dc48-11f0-be0e-62bc60f3bc09","Thanks for sharing this. NoSQL is exactly what I needed.","5ea91edc-849d-4e65-9f75-d80a82c32ff0","0.552"
"d1470c58-3f9f-45f3-aec9-0fc5ce4010e8","5e3c3956-dc48-11f0-be0e-62bc60f3bc09","Love the content! distributed databases makes so much more sense now.","28432ac3-5edd-4847-9761-4323472e5d57","0.755"
"fe2cfce6-1d0c-46bb-a72b-27e4e605c3fd","5e3c39ec-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! vector search seems really powerful.","86481ff5-b34e-4df0-af87-9525785561a1","0.873"
"9344f692-9726-4039-9f4f-51f94576972a","5e3c3a5a-dc48-11f0-be0e-62bc60f3bc09","Love the content! Cassandra makes so much more sense now.","2fd9689b-b183-4f30-a15a-4d29d959a1fe","0.845"
"7670ea23-068e-4076-a8a9-773b1a807cf7","5e3c3ad2-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand distributed databases.","ce011ffe-96f2-4700-aef1-619edd4632b2","0.667"
"bfd924aa-9fec-48a6-b525-a0814fe7a84a","5e3c3b4a-dc48-11f0-be0e-62bc60f3bc09","Love the content! Astra makes so much more sense now.","926cbf70-3f16-4da9-a4a7-fc0b4e50c02d","0.798"
"17e69b48-1999-4654-b4f3-b2c74625df8f","5e3c3bb8-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. CQL is fascinating.","505ee18c-b9a1-4b61-ab21-9edf79d067d9","0.827"
"01105d50-9a00-447f-a263-bbdb94058876","5e3c3c30-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! data modeling seems really powerful.","9470a54b-2fa7-4593-9fe9-f4aae9a3799e","0.834"
"d3284e47-8bae-423a-b1d0-322e1494583f","5e3c3ca8-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. Cassandra is fascinating.","ea541468-eced-48b2-97d3-a74dc24c45ee","0.642"
"d1a6d047-dd5c-4ba3-8464-ab3741386855","5e3c3d20-dc48-11f0-be0e-62bc60f3bc09","Clear and well-explained. consistency is fascinating.","d0806544-ab76-443b-8365-6e0bca5c6675","0.715"
"3be56674-23fb-4f12-87c6-2b66b214aabe","5e3c3dac-dc48-11f0-be0e-62bc60f3bc09","Thanks for sharing this. vector search is exactly what I needed.","95a78aa3-73b6-418a-8603-f9072513643d","0.832"
"62cda145-5ef0-4a6a-9387-225e3cdd2b70","5e3c3e42-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! data modeling seems really powerful.","03e8c127-3fa3-4852-9f41-881084a699e9","0.717"
"58f10ba1-de45-4e34-a157-02091000ffa0","5e3c3ed8-dc48-11f0-be0e-62bc60f3bc09","This video on vector search was super helpful. Keep up the great work!","aa53499f-5042-46f4-88ba-b11f714973f2","0.545"
"d3284e47-8bae-423a-b1d0-322e1494583f","5e3c3f82-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! distributed databases seems really powerful.","ce688a50-29af-4d04-bd4c-bff0833b4d1a","0.603"
"1af16169-aebe-4519-a3f4-c9565e60dbd5","5e3c4004-dc48-11f0-be0e-62bc60f3bc09","Thanks for sharing this. the architecture is exactly what I needed.","6115e922-50c1-4e9d-90f7-5d65cb69a904","0.576"
"9af7749d-80d5-453a-934e-57db0225448c","5e3c409a-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! consistency seems really powerful.","229a1e67-bc6e-461f-856c-6558ab0b71b6","0.563"
"cbcee4b3-1b8d-438e-acab-25adae7e195b","5e3c4130-dc48-11f0-be0e-62bc60f3bc09","This video on data modeling was super helpful. Keep up the great work!","6cd30519-d443-4842-bea9-0261a40a765c","0.76"
"9b9d4005-0879-49ac-95b9-6702256cbf10","5e3c41da-dc48-11f0-be0e-62bc60f3bc09","Excellent explanation of scaling. Very clear and concise.","e89b5ace-efea-4703-b5ed-a33ef5a753fb","0.779"
"68833468-70be-42a2-af51-efc0eb0c02af","5e3c4270-dc48-11f0-be0e-62bc60f3bc09","Thanks for covering scaling. Looking forward to more content!","1b81adc7-83bf-40e9-b3bd-607763b4b9c3","0.872"
"3b81fb28-00f2-4488-a8a0-94c0a2e7351b","5e3c42f2-dc48-11f0-be0e-62bc60f3bc09","Amazing demo! CQL seems really powerful.","41d11b28-cfb2-4628-b7b4-4792608c3975","0.611"
"12f4cdae-1189-47de-815c-6ac018d3853f","5e3c437e-dc48-11f0-be0e-62bc60f3bc09","Thanks for covering scaling. Looking forward to more content!","8c985e23-5c7d-4bf6-91d3-d0e5ed7f2ab4","0.661"
"2babaf16-fd9d-457d-a303-5d2d9263a230","5e3c4414-dc48-11f0-be0e-62bc60f3bc09","Thanks for sharing this. NoSQL is exactly what I needed.","3b1dd7d0-57ac-4e56-ab0c-5e29bdce4517","0.814"
"e2f032e1-e893-46ee-a120-e54f52f4706b","5e3c44aa-dc48-11f0-be0e-62bc60f3bc09","Great tutorial! Really helped me understand Astra.","ce52a4a8-00e9-472a-99cb-16c5d5400117","0.729"
