"userid","commentid","videoid","comment","sentiment_score"
"2fd9689b-b183-4f30-a15a-4d29d959a1fe","5e3c2a6a-dc48-11f0-be0e-62bc60f3bc09","0573af87-d26d-4ccd-8f61-c8b851d2ba5f","Thanks for sharing this. consistency is exactly what I needed.","0.851"
"aa53499f-5042-46f4-88ba-b11f714973f2","5e3c2c22-dc48-11f0-be0e-62bc60f3bc09","7db373e0-2c73-443a-bfce-7cc350574a0c","Thanks for covering the architecture. Looking forward to more content!","0.764"
"f9d55d7d-c046-4495-8189-17209030d8af","5e3c2cc2-dc48-11f0-be0e-62bc60f3bc09","7670ea23-068e-4076-a8a9-773b1a807cf7","Love the content! this topic makes so much more sense now.","0.677"
"a544352b-44bf-4511-86de-7d11d67f7cfc","5e3c2d58-dc48-11f0-be0e-62bc60f3bc09","7dff9592-0773-4908-8a30-15655c0a66f8","Clear and well-explained. scaling is fascinating.","0.67"
"e4dae5ea-e065-46f0-9fc9-ea18af15f881","5e3c2df8-dc48-11f0-be0e-62bc60f3bc09","4773d082-8376-4d2a-a1f4-afe8ee03762c","Thanks for sharing this. data modeling is exactly what I needed.","0.663"
"9383998c-ddc2-4e75-adb4-18160db85029","5e3c2e84-dc48-11f0-be0e-62bc60f3bc09","490404d7-2cc6-4ec6-a4eb-3dffc3247ba0","Amazing demo! vector search seems really powerful.","0.776"
"a824b122-0048-471a-902c-2e060cb5a705","5e3c2f06-dc48-11f0-be0e-62bc60f3bc09","a73ef787-f26b-481b-b729-74f5281a91e5","Love the content! this topic makes so much more sense now.","0.541"
"86481ff5-b34e-4df0-af87-9525785561a1","5e3c2fa6-dc48-11f0-be0e-62bc60f3bc09","1889cc27-d235-4eb4-a72a-c4445517b527","This video on vector search was super helpful. Keep up the great work!","0.694"
"551d60f2-fd1a-4953-9134-8485da816bd6","5e3c3050-dc48-11f0-be0e-62bc60f3bc09","130409a8-1ac3-4c77-a209-f7dd57d70268","Clear and well-explained. Astra is fascinating.","0.771"
"b833e3df-35d5-44e1-b91e-295411730ba9","5e3c30dc-dc48-11f0-be0e-62bc60f3bc09","cb4b81ea-0a9d-498c-bc50-1fecb51b7902","Clear and well-explained. Astra is fascinating.","0.566"
"1169594e-9b45-4d2d-b8a2-804f4d488969","5e3c3154-dc48-11f0-be0e-62bc60f3bc09","f07a59ec-b7cc-4a8f-b766-1e1b91627358","Excellent explanation of scaling. Very clear and concise.","0.75"
"81e21177-c908-4ebd-bf5b-80928c1ad9fd","5e3c31d6-dc48-11f0-be0e-62bc60f3bc09","72ab6fb1-c178-4b4f-bae3-def4b576bb7e","Clear and well-explained. data modeling is fascinating.","0.674"
