"videoid","userid","rating","rating_date"
"4978918f-dd37-42f1-acc3-7bd02fa7cf61","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","4","2025-02-26T08:51:44.469Z"
"2404efdd-8978-4b05-99f3-505af013d741","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","4","2025-12-18T11:20:44.238Z"
"6680e5cd-0295-4b62-a878-2fc37303005e","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","5","2025-02-12T20:00:09.917Z"
"c6ddea2d-5374-4c30-b50b-9449e5f2fccf","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","5","2025-04-05T06:37:59.262Z"
"bd1bea27-2d04-4074-81c8-2269ade1473d","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","4","2025-10-02T02:15:46.256Z"
"dda30b75-7c28-43a8-b928-6304dcecfdaf","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","5","2025-06-21T16:04:36.234Z"
"fe04a539-3340-4d88-a44f-6dc2df9ad121","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","5","2025-07-03T09:17:29.323Z"
"ecdbb6c1-f2b0-4054-bae5-4e57d697939f","672edd1b-838d-4cd6-bcb5-a0ceb132a4e8","5","2025-09-14T00:33:59.800Z"
"fe4745de-5a0a-43d7-a22b-7f626b9f8f90","c3c18938-528e-4794-9434-1a036c1c6141","4","2025-06-28T13:14:25.629Z"
"2864a880-1162-4fd4-b2e9-105066bd7534","c3c18938-528e-4794-9434-1a036c1c6141","5","2025-08-17T00:06:12.194Z"
"65b29750-3c7f-4d42-b095-fb1b31b1695a","c3c18938-528e-4794-9434-1a036c1c6141","4","2025-11-03T08:02:21.355Z"
"a35c3655-e365-46ea-9173-806288336743","6da5701d-2ecb-4e42-93a7-1994418e3eb0","4","2025-07-31T23:18:21.796Z"
"2432d1d2-4a6c-4f44-8985-a28889922a3f","6da5701d-2ecb-4e42-93a7-1994418e3eb0","5","2025-07-24T09:06:34.267Z"
"6ca4b312-6cc1-4c24-bc75-986c581d95b6","6da5701d-2ecb-4e42-93a7-1994418e3eb0","5","2025-02-12T13:55:59.666Z"
"89e80d68-dbb0-4dc8-bf50-03aeba69d918","6da5701d-2ecb-4e42-93a7-1994418e3eb0","3","2025-02-22T07:02:34.442Z"
"a7cfa27f-faea-4521-83d8-f024a0d0ee35","6da5701d-2ecb-4e42-93a7-1994418e3eb0","5","2025-08-28T07:06:32.977Z"
"65d309f1-5bd9-40d9-b14e-a3efab1fa3a7","6da5701d-2ecb-4e42-93a7-1994418e3eb0","5","2025-08-03T10:06:56.394Z"
"12fa3f62-abd4-49bc-9655-242d51e63332","6da5701d-2ecb-4e42-93a7-1994418e3eb0","5","2025-11-12T22:15:22.545Z"
"bfd924aa-9fec-48a6-b525-a0814fe7a84a","6da5701d-2ecb-4e42-93a7-1994418e3eb0","4","2025-09-07T15:30:27.469Z"
"09f94303-b6cf-4f3a-9e02-986e2ab883cd","6da5701d-2ecb-4e42-93a7-1994418e3eb0","4","2025-01-03T04:47:16.414Z"
"f8c5acbc-4fe8-431e-8f86-f8095f50bdf3","6da5701d-2ecb-4e42-93a7-1994418e3eb0","4","2025-04-30T07:09:06.436Z"
"14078c88-9774-4de2-8e04-25cbc13af39c","6da5701d-2ecb-4e42-93a7-1994418e3eb0","3","2025-09-07T01:30:21.137Z"
"12f4cdae-1189-47de-815c-6ac018d3853f","6da5701d-2ecb-4e42-93a7-1994418e3eb0","5","2025-12-07T08:58:17.586Z"
"e4cf20d5-54cc-424d-8549-9fd7758529b9","878f82ba-5db2-4248-b57d-888176bafa47","5","2025-07-29T06:07:24.538Z"
"d217f9f4-58a6-425a-9132-6886a1d1a981","878f82ba-5db2-4248-b57d-888176bafa47","5","2025-09-19T01:04:15.366Z"
"622165eb-0f76-4d45-ad0c-d50dd4a436fc","878f82ba-5db2-4248-b57d-888176bafa47","1","2025-09-30T12:23:47.019Z"
"c449fb05-ca4f-4707-beb9-27e00fbadbd9","878f82ba-5db2-4248-b57d-888176bafa47","5","2025-03-13T17:00:15.137Z"
"bfd924aa-9fec-48a6-b525-a0814fe7a84a","878f82ba-5db2-4248-b57d-888176bafa47","5","2025-03-15T14:17:03.127Z"
"ef32212d-6f9e-41f9-a7cc-fd6f1246a36f","878f82ba-5db2-4248-b57d-888176bafa47","4","2025-12-05T21:58:44.162Z"
"f2f9941b-fcab-451c-99c2-6927ab8ea8df","878f82ba-5db2-4248-b57d-888176bafa47","5","2025-09-30T17:23:30.577Z"
"5fe46d61-44ad-4beb-9883-a221052aaaa0","1e13b0e8-058a-4631-bf63-d015275f55ca","4","2025-11-13T09:48:45.539Z"
"db012a4d-1faa-493c-8cb9-ece6d7eff09d","1e13b0e8-058a-4631-bf63-d015275f55ca","4","2025-02-27T02:29:23.252Z"
"e6acb0c5-e4b2-49f8-aeb3-3d5fc27a5127","1e13b0e8-058a-4631-bf63-d015275f55ca","5","2025-08-22T23:39:55.405Z"
"a35c3655-e365-46ea-9173-806288336743","1e13b0e8-058a-4631-bf63-d015275f55ca","5","2025-07-14T13:57:00.205Z"
"e819e0a7-a26b-4e75-8880-fd30ac854031","1e13b0e8-058a-4631-bf63-d015275f55ca","4","2025-05-28T03:57:41.944Z"
"9a9df5bc-740a-4cb8-b03c-20d562a2b5d1","1e13b0e8-058a-4631-bf63-d015275f55ca","5","2025-09-25T06:30:15.252Z"
"325fcfd0-e079-45e1-9ef2-93b04cc434e0","1e13b0e8-058a-4631-bf63-d015275f55ca","5","2025-09-28T10:38:20.818Z"
"d0df5d32-3b44-4a9e-95a7-74fd0a052b97","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","5","2025-06-19T22:08:59.695Z"
"9b84f4ea-cf63-468c-845f-06c778dab0e2","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","5","2025-05-20T03:40:15.182Z"
"c674dd4b-4cc5-4394-a054-ec46b72c6a96","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","5","2025-02-15T10:21:12.989Z"
"c4cfbb14-15e2-4eeb-82c3-ae77044d487a","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","4","2025-03-01T04:17:34.590Z"
"a3fd8e16-6c66-4fcd-bbdf-2c5cc0659a1e","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","3","2025-07-27T02:07:30.784Z"
"8c8e7c90-6b72-45d2-84f8-284fe9ab8a40","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","5","2025-11-02T02:18:57.118Z"
"ebf7d9f2-6567-444e-88ef-dec1a3dec3d3","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","3","2025-01-06T07:11:10.276Z"
"a999170d-f22a-422b-acdb-ea35b9f9fd4f","6bbae7fa-c5d3-45c0-a64c-feec0afdf8b2","5","2025-06-11T18:31:58.438Z"
"9dbc0e04-41d0-48b8-af70-b464002f8ffc","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","5","2025-05-02T19:44:48.448Z"
"036cd97f-749a-43d2-ab1e-3984dbb33b40","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","4","2025-11-24T11:35:01.030Z"
"45c98e43-3457-40f9-bea1-3d04119c0b9f","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","5","2025-09-04T01:45:38.825Z"
"f29ac2fc-0a69-4cd2-9c18-c55fd84607df","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","5","2025-06-24T16:07:42.342Z"
"8159f69c-67ae-4f50-a3d0-018a812f49d8","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","5","2025-02-01T18:41:09.534Z"
"530148e4-da30-4ab0-878f-5f15130f6cc1","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","4","2025-01-17T21:01:11.188Z"
"36a4d720-0d0f-49a7-8d25-3c5aa1585363","f17d0d50-d672-4207-a5d1-2c4b080b7e5c","4","2025-02-14T19:03:00.009Z"
"82cffdf5-600a-47b2-8a89-4c81aa32ff52","c9f5d4f8-2f02-4f79-8b9c-80f35c6f1391","4","2025-05-31T08:24:54.017Z"
"1a92c5c4-dd39-430e-9df6-e62da460fbf4","c9f5d4f8-2f02-4f79-8b9c-80f35c6f1391","5","2025-06-23T17:43:02.825Z"
"bfeefcf1-86fa-466a-b700-2436e156596f","c9f5d4f8-2f02-4f79-8b9c-80f35c6f1391","5","2025-10-17T18:32:47.903Z"
"d0df5d32-3b44-4a9e-95a7-74fd0a052b97","f6dc1231-029c-4c50-b2e2-d29ce14296bb","5","2025-01-20T17:43:46.905Z"
"1a33d142-8e16-42f0-8339-224a65215e0e","f6dc1231-029c-4c50-b2e2-d29ce14296bb","5","2025-11-15T19:03:30.451Z"
"ca5ab903-3b4e-48ba-86fc-35a357844f97","f6dc1231-029c-4c50-b2e2-d29ce14296bb","4","2025-10-12T12:48:55.035Z"
"845dafd2-f8e4-4b7d-aab8-1409e5130051","ce52a4a8-00e9-472a-99cb-16c5d5400117","5","2025-11-06T08:14:34.226Z"
"1a33d142-8e16-42f0-8339-224a65215e0e","ce52a4a8-00e9-472a-99cb-16c5d5400117","5","2025-11-23T02:05:02.959Z"
"8584f5a3-3bc3-49b7-a590-c5304aa071bb","ce52a4a8-00e9-472a-99cb-16c5d5400117","4","2025-05-18T18:40:38.124Z"
"cc68b269-8f72-4fbc-ac66-37df608037a3","ce52a4a8-00e9-472a-99cb-16c5d5400117","5","2025-05-12T01:00:39.124Z"
"6b568a23-4555-4a8c-89e1-75d130706fc5","ce52a4a8-00e9-472a-99cb-16c5d5400117","5","2025-05-03T19:50:49.940Z"
"151c8661-b8da-4b66-a768-637eb6e34ef7","ce52a4a8-00e9-472a-99cb-16c5d5400117","4","2025-05-08T06:49:48.239Z"
"e5f35319-8a55-411d-8617-5736225849bf","ce52a4a8-00e9-472a-99cb-16c5d5400117","1","2025-01-17T01:07:27.238Z"
