videoid,commentid,comment,userid,sentiment_score
79577345-9470-41e2-93d1-311b10a1f8ae,090f6644-b9cd-11f0-9a37-62bc60f3bc08,Thanks for sharing this. Astra is exactly what I needed.,bc9a061d-f1e2-4ccc-a39b-9aedf110dad9,0.878
9ac7f508-357c-4446-a425-db42d2fddb6f,090f682e-b9cd-11f0-9a37-62bc60f3bc08,Thanks for covering the architecture. Looking forward to more content!,2f6e05b2-93ec-4278-b7dd-41980a51a61e,0.462
9aaf66a5-6d38-4af2-9b89-a6f0d080014d,090f68ba-b9cd-11f0-9a37-62bc60f3bc08,This video on scaling was super helpful. Keep up the great work!,e27435cb-e8b8-4abd-966f-c71628fb9973,0.651
48c5fc14-06e6-4689-b3f7-b18474ee8bbe,090f693c-b9cd-11f0-9a37-62bc60f3bc08,Clear and well-explained. data modeling is fascinating.,e56a738d-7fa4-4810-a297-c8ec3b01348b,0.587
e61d9ca3-f8fb-4fbf-a748-fd0fb50ed251,090f69aa-b9cd-11f0-9a37-62bc60f3bc08,Thanks for covering CQL. Looking forward to more content!,f7bd5404-dc01-41d5-91b3-6756094ffb6e,0.588
e83999f5-50f7-43c2-be11-c4f6f134c689,090f6a22-b9cd-11f0-9a37-62bc60f3bc08,Love the content! Astra makes so much more sense now.,9f6f4b21-d3cc-49bc-a7ac-303ba89eb728,0.396
3e5f883f-2fff-4734-aadd-61e52f6b8133,090f6a86-b9cd-11f0-9a37-62bc60f3bc08,This video on the architecture was super helpful. Keep up the great work!,d03a0559-5de9-4892-9fed-e90f0f4abe86,0.507
988e7ca5-483c-4695-9e6c-e937512c0007,090f6b12-b9cd-11f0-9a37-62bc60f3bc08,Thanks for sharing this. performance optimization is exactly what I needed.,3d17259a-2fb4-41d5-a9ef-89f86dbfc1fa,0.819
19eebc24-6bbe-49f7-a08d-93697974e1d2,090f6b9e-b9cd-11f0-9a37-62bc60f3bc08,Thanks for covering performance optimization. Looking forward to more content!,a8d2e23a-fce5-49d8-8d5f-680750de8081,0.804
5d8d7849-6975-4089-9da9-8243e2d4f070,090f6c16-b9cd-11f0-9a37-62bc60f3bc08,Great tutorial! Really helped me understand this topic.,67cc0481-7571-4591-81ca-a464cd2962b5,0.831
ddc22ca9-3906-4661-bc43-f3ffdb973761,090f6c84-b9cd-11f0-9a37-62bc60f3bc08,Excellent explanation of data modeling. Very clear and concise.,edbf0dd0-83c3-44b8-b50e-de0b9fd520ca,0.571
0db6907d-3ffe-4a2c-b990-e14240d3601d,090f6cf2-b9cd-11f0-9a37-62bc60f3bc08,Love the content! this topic makes so much more sense now.,d6f6d064-01bb-48e1-be4f-3aeb414f608d,0.749
dbd8996c-0897-40a8-b5db-c33968d3291a,090f6d4c-b9cd-11f0-9a37-62bc60f3bc08,Clear and well-explained. this topic is fascinating.,61edee86-8a1e-44f2-b885-2e970828adcf,0.815
751bffa8-35e9-4772-9fb1-2397f36e50f7,090f6dba-b9cd-11f0-9a37-62bc60f3bc08,Love the content! Cassandra makes so much more sense now.,d247549d-739e-4f32-8755-120bcf1fa1ce,0.791
6f6e3a52-3923-4b9e-8b9e-0c03bf9437f3,090f6e1e-b9cd-11f0-9a37-62bc60f3bc08,Love the content! Cassandra makes so much more sense now.,bc9a061d-f1e2-4ccc-a39b-9aedf110dad9,0.491
f530ba4d-1647-4731-bf50-8c4d891e07bd,090f6e78-b9cd-11f0-9a37-62bc60f3bc08,Thanks for covering NoSQL. Looking forward to more content!,d08d504e-ba33-4d5e-bbef-c85a65f6d469,0.608
5497b336-e993-45aa-8186-c087035a6f06,090f6ee6-b9cd-11f0-9a37-62bc60f3bc08,Amazing demo! distributed databases seems really powerful.,7fff0459-0b5c-4d58-b69d-7c5a05b794c8,0.563
8cc95be4-7cce-4722-b099-d368ba6cb42e,090f6f4a-b9cd-11f0-9a37-62bc60f3bc08,Thanks for sharing this. scaling is exactly what I needed.,66e5f9bb-db6c-4a90-9145-11d0306bf60e,0.542
cb3c19f4-2abe-490e-ab1e-962c2cd5c4d3,090f6fae-b9cd-11f0-9a37-62bc60f3bc08,Thanks for covering Cassandra. Looking forward to more content!,4a67481c-0b3d-49fe-ba8f-cac448641c6a,0.486
