userid,commentid,videoid,comment,sentiment_score
bc9a061d-f1e2-4ccc-a39b-9aedf110dad9,090f6644-b9cd-11f0-9a37-62bc60f3bc08,79577345-9470-41e2-93d1-311b10a1f8ae,Thanks for sharing this. Astra is exactly what I needed.,0.878
2f6e05b2-93ec-4278-b7dd-41980a51a61e,090f682e-b9cd-11f0-9a37-62bc60f3bc08,9ac7f508-357c-4446-a425-db42d2fddb6f,Thanks for covering the architecture. Looking forward to more content!,0.462
e27435cb-e8b8-4abd-966f-c71628fb9973,090f68ba-b9cd-11f0-9a37-62bc60f3bc08,9aaf66a5-6d38-4af2-9b89-a6f0d080014d,This video on scaling was super helpful. Keep up the great work!,0.651
e56a738d-7fa4-4810-a297-c8ec3b01348b,090f693c-b9cd-11f0-9a37-62bc60f3bc08,48c5fc14-06e6-4689-b3f7-b18474ee8bbe,Clear and well-explained. data modeling is fascinating.,0.587
f7bd5404-dc01-41d5-91b3-6756094ffb6e,090f69aa-b9cd-11f0-9a37-62bc60f3bc08,e61d9ca3-f8fb-4fbf-a748-fd0fb50ed251,Thanks for covering CQL. Looking forward to more content!,0.588
9f6f4b21-d3cc-49bc-a7ac-303ba89eb728,090f6a22-b9cd-11f0-9a37-62bc60f3bc08,e83999f5-50f7-43c2-be11-c4f6f134c689,Love the content! Astra makes so much more sense now.,0.396
d03a0559-5de9-4892-9fed-e90f0f4abe86,090f6a86-b9cd-11f0-9a37-62bc60f3bc08,3e5f883f-2fff-4734-aadd-61e52f6b8133,This video on the architecture was super helpful. Keep up the great work!,0.507
3d17259a-2fb4-41d5-a9ef-89f86dbfc1fa,090f6b12-b9cd-11f0-9a37-62bc60f3bc08,988e7ca5-483c-4695-9e6c-e937512c0007,Thanks for sharing this. performance optimization is exactly what I needed.,0.819
a8d2e23a-fce5-49d8-8d5f-680750de8081,090f6b9e-b9cd-11f0-9a37-62bc60f3bc08,19eebc24-6bbe-49f7-a08d-93697974e1d2,Thanks for covering performance optimization. Looking forward to more content!,0.804
67cc0481-7571-4591-81ca-a464cd2962b5,090f6c16-b9cd-11f0-9a37-62bc60f3bc08,5d8d7849-6975-4089-9da9-8243e2d4f070,Great tutorial! Really helped me understand this topic.,0.831
edbf0dd0-83c3-44b8-b50e-de0b9fd520ca,090f6c84-b9cd-11f0-9a37-62bc60f3bc08,ddc22ca9-3906-4661-bc43-f3ffdb973761,Excellent explanation of data modeling. Very clear and concise.,0.571
d6f6d064-01bb-48e1-be4f-3aeb414f608d,090f6cf2-b9cd-11f0-9a37-62bc60f3bc08,0db6907d-3ffe-4a2c-b990-e14240d3601d,Love the content! this topic makes so much more sense now.,0.749
61edee86-8a1e-44f2-b885-2e970828adcf,090f6d4c-b9cd-11f0-9a37-62bc60f3bc08,dbd8996c-0897-40a8-b5db-c33968d3291a,Clear and well-explained. this topic is fascinating.,0.815
d247549d-739e-4f32-8755-120bcf1fa1ce,090f6dba-b9cd-11f0-9a37-62bc60f3bc08,751bffa8-35e9-4772-9fb1-2397f36e50f7,Love the content! Cassandra makes so much more sense now.,0.791
bc9a061d-f1e2-4ccc-a39b-9aedf110dad9,090f6e1e-b9cd-11f0-9a37-62bc60f3bc08,6f6e3a52-3923-4b9e-8b9e-0c03bf9437f3,Love the content! Cassandra makes so much more sense now.,0.491
d08d504e-ba33-4d5e-bbef-c85a65f6d469,090f6e78-b9cd-11f0-9a37-62bc60f3bc08,f530ba4d-1647-4731-bf50-8c4d891e07bd,Thanks for covering NoSQL. Looking forward to more content!,0.608
7fff0459-0b5c-4d58-b69d-7c5a05b794c8,090f6ee6-b9cd-11f0-9a37-62bc60f3bc08,5497b336-e993-45aa-8186-c087035a6f06,Amazing demo! distributed databases seems really powerful.,0.563
66e5f9bb-db6c-4a90-9145-11d0306bf60e,090f6f4a-b9cd-11f0-9a37-62bc60f3bc08,8cc95be4-7cce-4722-b099-d368ba6cb42e,Thanks for sharing this. scaling is exactly what I needed.,0.542
4a67481c-0b3d-49fe-ba8f-cac448641c6a,090f6fae-b9cd-11f0-9a37-62bc60f3bc08,cb3c19f4-2abe-490e-ab1e-962c2cd5c4d3,Thanks for covering Cassandra. Looking forward to more content!,0.486
d247549d-739e-4f32-8755-120bcf1fa1ce,090f7012-b9cd-11f0-9a37-62bc60f3bc08,3584605e-5bfd-4759-8f8a-b94a986af3d4,Amazing demo! consistency seems really powerful.,0.583
dfeb9325-c435-4916-88cc-de34a2372195,090f7076-b9cd-11f0-9a37-62bc60f3bc08,80b860c9-62a0-42b1-987e-c814cbba2733,Excellent explanation of the architecture. Very clear and concise.,0.802
95955bc0-c8a1-4253-b9bc-98d86fd6ad81,090f70ee-b9cd-11f0-9a37-62bc60f3bc08,7a3dea02-332d-4dc2-82ce-b4be818fbb2a,Excellent explanation of NoSQL. Very clear and concise.,0.6
2a8018d2-34b8-4b44-968e-a9fc035ae052,090f7152-b9cd-11f0-9a37-62bc60f3bc08,72a64848-ea47-45e0-87fa-78cc9aaf48ac,Love the content! consistency makes so much more sense now.,0.886
07ddfb9a-deb2-4387-9361-b36cf5cd7404,090f71b6-b9cd-11f0-9a37-62bc60f3bc08,81275da9-82ab-4f99-9eab-03c9704b819d,Excellent explanation of distributed databases. Very clear and concise.,0.503
bc9a061d-f1e2-4ccc-a39b-9aedf110dad9,090f721a-b9cd-11f0-9a37-62bc60f3bc08,ff829392-ccb1-49a6-a46e-3bb209d5a296,Amazing demo! data modeling seems really powerful.,0.706
61ed238d-53fd-4923-a1d9-6fffe5f1ec68,090f7288-b9cd-11f0-9a37-62bc60f3bc08,5e9a162f-d632-468b-8588-61c3710414a1,Amazing demo! scaling seems really powerful.,0.676
30c19a00-907c-4d7c-9e4d-d765280b7956,090f72e2-b9cd-11f0-9a37-62bc60f3bc08,caed2df1-5ff4-4e1d-bc40-87d38343981a,Clear and well-explained. scaling is fascinating.,0.767
de214ef7-4edf-4ce4-bb0b-4e499b39c8ec,090f7346-b9cd-11f0-9a37-62bc60f3bc08,94f0d7a4-11b1-44fe-ae75-098f9fe9a952,Amazing demo! performance optimization seems really powerful.,0.674
9c6415ed-e0f0-4b8c-bfed-97e4795afb24,090f73aa-b9cd-11f0-9a37-62bc60f3bc08,a372d383-5a41-434e-b9af-6518f8bc03f6,Thanks for covering consistency. Looking forward to more content!,0.651
67f7b8b3-ff28-4f69-8763-3f19cda1627d,090f740e-b9cd-11f0-9a37-62bc60f3bc08,b3c2cff5-4e66-4851-b9c1-d82a9acef6bc,Love the content! this topic makes so much more sense now.,0.845
6fa895f2-5e2a-4c0b-87f4-d918058fad15,090f7468-b9cd-11f0-9a37-62bc60f3bc08,ae5e72dd-e66d-4c27-8c98-028cd247bc07,Excellent explanation of vector search. Very clear and concise.,0.486
2a369eae-878f-4615-abde-f6976b55abd0,090f74cc-b9cd-11f0-9a37-62bc60f3bc08,3b554f73-97e2-4f51-a04e-2f463d1ad3f8,Clear and well-explained. performance optimization is fascinating.,0.764
d4df1838-8494-4adf-95be-a508501511b4,090f7530-b9cd-11f0-9a37-62bc60f3bc08,ab8f646b-a863-4ce4-a42d-129c1a720b70,Clear and well-explained. scaling is fascinating.,0.841
b9e7fea1-57bf-481e-90d2-789965b0b1e6,090f7594-b9cd-11f0-9a37-62bc60f3bc08,5407830e-a931-4c47-bac8-a5cfc6726bbc,Great tutorial! Really helped me understand consistency.,0.801
15222783-f734-49db-9109-dd558ff1e13e,090f75f8-b9cd-11f0-9a37-62bc60f3bc08,8609cc83-6dd6-489f-9c9d-92caf226025c,Thanks for covering distributed databases. Looking forward to more content!,0.742
edbf0dd0-83c3-44b8-b50e-de0b9fd520ca,090f765c-b9cd-11f0-9a37-62bc60f3bc08,99cb3fa2-b1a4-4e93-b9fb-35984aad65d3,Amazing demo! Cassandra seems really powerful.,0.646
7b999356-64d2-44c8-bdc6-81a6f002c3b3,090f76c0-b9cd-11f0-9a37-62bc60f3bc08,09590828-adf8-4885-a3f0-76ec67c3ba69,Thanks for sharing this. this topic is exactly what I needed.,0.787
bb3b6846-0806-4182-a883-fef88b0f23ce,090f7724-b9cd-11f0-9a37-62bc60f3bc08,3b46f04d-1d9b-4497-a8f0-60ad3679a1f6,Great tutorial! Really helped me understand Astra.,0.756
dd919cc2-cb00-4df2-8a23-4aee419acea7,090f777e-b9cd-11f0-9a37-62bc60f3bc08,372df632-aef0-4fb3-96a4-082e32e765a8,This video on data modeling was super helpful. Keep up the great work!,0.792
c81c196d-ffcf-43e8-bb38-b59271ddd97e,090f77e2-b9cd-11f0-9a37-62bc60f3bc08,4e0af0f4-c8f1-4966-9b35-4ff196d296ed,Amazing demo! CQL seems really powerful.,0.533
7777b733-a6b8-47e7-83ad-bc2739ae9954,090f783c-b9cd-11f0-9a37-62bc60f3bc08,98c241e6-4cc6-4ad8-9937-bc8a79b1f63b,Love the content! CQL makes so much more sense now.,0.886
30ab73cd-d7de-47a6-bbbe-6641208a3387,090f78a0-b9cd-11f0-9a37-62bc60f3bc08,349a40ee-d651-4f7a-bedd-b0d8b5c994c6,Great tutorial! Really helped me understand CQL.,0.685
6fa895f2-5e2a-4c0b-87f4-d918058fad15,090f7904-b9cd-11f0-9a37-62bc60f3bc08,9ab33abf-b3cd-45be-8ee3-1efe324372dc,Amazing demo! Cassandra seems really powerful.,0.723
0bc4f06f-cc51-47d9-b4ee-79abbe8052ce,090f7968-b9cd-11f0-9a37-62bc60f3bc08,ab8f646b-a863-4ce4-a42d-129c1a720b70,Thanks for sharing this. consistency is exactly what I needed.,0.744
9cb03d65-af57-4c16-9a7c-c77fa12bc31e,090f79cc-b9cd-11f0-9a37-62bc60f3bc08,82c63fc9-070d-4cd4-88c2-3b9b5ea70171,Amazing demo! the architecture seems really powerful.,0.563
8e8fda47-0303-43a3-87cf-a7f7c23e00cc,090f7a30-b9cd-11f0-9a37-62bc60f3bc08,a372d383-5a41-434e-b9af-6518f8bc03f6,Love the content! this topic makes so much more sense now.,0.609
1f94f5ef-b3c7-4e56-b874-7f4e9a4bf8b9,090f7a94-b9cd-11f0-9a37-62bc60f3bc08,9cb3cb19-0330-4c3f-84d6-f274e0df2763,Great tutorial! Really helped me understand this topic.,0.791
15222783-f734-49db-9109-dd558ff1e13e,090f7aee-b9cd-11f0-9a37-62bc60f3bc08,9bd5e9df-4f40-4e09-b4a3-b61138b6c05d,Thanks for sharing this. data modeling is exactly what I needed.,0.571
d03a0559-5de9-4892-9fed-e90f0f4abe86,090f7b52-b9cd-11f0-9a37-62bc60f3bc08,e472ab3f-cca0-42e4-9f11-4f617f0cd5a1,Thanks for sharing this. CQL is exactly what I needed.,0.667
22a94842-d16b-48dc-809f-838e0f8c3390,090f7bac-b9cd-11f0-9a37-62bc60f3bc08,e93ed3c5-c714-4644-b7b5-9ca05eaad0ca,Clear and well-explained. performance optimization is fascinating.,0.91
61ed238d-53fd-4923-a1d9-6fffe5f1ec68,090f7c10-b9cd-11f0-9a37-62bc60f3bc08,fc402c10-9d58-478b-98d2-50ee939efd03,Clear and well-explained. data modeling is fascinating.,0.72
